dns_domain_name,dns_top_level_domain,dns_second_level_domain,dns_domain_name_length,dns_subdomain_name_length,numerical_percentage,character_entropy,max_continuous_numeric_len,max_continuous_alphabet_len,max_continuous_consonants_len,max_continuous_same_alphabet_len,vowels_consonant_ratio,conv_freq_vowels_consonants,label
assets-d4128fe8661b8299.lab-c2.local.,local,lab-c2,37,23,0.35135135135135137,4.060012149061902,4,6,2,2,0.46153846153846156,0.3055555555555556,malicious
img-9375b73c498d850b.lab-c2.local.,local,lab-c2,34,20,0.38235294117647056,4.1162996057016965,4,5,2,1,0.3333333333333333,0.21212121212121213,malicious
cdn-8189b4c7e5ea0ee6.lab-c2.local.,local,lab-c2,34,20,0.29411764705882354,4.02085512047121,4,5,3,2,0.7272727272727273,0.24242424242424243,malicious
cdn-32dc0cc94c90376a.lab-c2.local.,local,lab-c2,34,20,0.3235294117647059,3.736987930635821,5,5,3,2,0.2857142857142857,0.24242424242424243,malicious
api-9ca1a03158a742c3.lab-c2.local.,local,lab-c2,34,20,0.35294117647058826,3.881005488054637,5,5,1,1,0.8888888888888888,0.3333333333333333,malicious
assets-bec2dde3c4b5f334.lab-c2.local.,local,lab-c2,37,23,0.21621621621621623,3.877447621976402,3,6,2,2,0.4117647058823529,0.3611111111111111,malicious
assets-777788436b546a55.lab-c2.local.,local,lab-c2,37,23,0.40540540540540543,3.9386547167464134,9,6,2,4,0.5454545454545454,0.3055555555555556,malicious
api-9426f395702234e0.lab-c2.local.,local,lab-c2,34,20,0.4411764705882353,4.0796786498829745,9,5,1,2,0.75,0.3333333333333333,malicious
api-9068539210cd6214.lab-c2.local.,local,lab-c2,34,20,0.4411764705882353,4.094097032108653,10,5,2,1,0.5555555555555556,0.2727272727272727,malicious
static-49a1482cee72f608.lab-c2.local.,local,lab-c2,37,23,0.32432432432432434,4.121219243831913,4,6,2,2,0.6666666666666666,0.3888888888888889,malicious
api-838243b997b5666b.lab-c2.local.,local,lab-c2,34,20,0.4117647058823529,3.939829017466402,6,5,1,3,0.5,0.2727272727272727,malicious
