dns_domain_name,dns_top_level_domain,dns_second_level_domain,dns_domain_name_length,dns_subdomain_name_length,numerical_percentage,character_entropy,max_continuous_numeric_len,max_continuous_alphabet_len,max_continuous_consonants_len,max_continuous_same_alphabet_len,vowels_consonant_ratio,conv_freq_vowels_consonants,label
qatreakmwaxjj5ut9qg28nf7mblvqa.lab-c2.local.,local,lab-c2,44,30,0.13636363636363635,4.436260027531528,2,13,5,2,0.36,0.37209302325581395,malicious
ljblkqdhbq3dsdngp63iadz7rp0.lab-c2.local.,local,lab-c2,41,27,0.14634146341463414,4.336227541668639,2,10,10,1,0.19230769230769232,0.2,malicious
eyybza6e8ak1rfktzpoksvtwz4pr.lab-c2.local.,local,lab-c2,42,28,0.11904761904761904,4.368042422572716,1,13,6,2,0.32,0.2682926829268293,malicious
ob9mwacuiasr0jeeazro0l7ddxvl.lab-c2.local.,local,lab-c2,42,28,0.11904761904761904,4.2617473405081885,1,9,5,2,0.5714285714285714,0.36585365853658536,malicious
qgkw1a1gmodm3qlwd5fqubzmkp6p1q.lab-c2.local.,local,lab-c2,44,30,0.1590909090909091,4.299896391167891,1,8,5,1,0.2222222222222222,0.27906976744186046,malicious
tg0z27df0nlikhf20vrhkatgewybjb.lab-c2.local.,local,lab-c2,44,30,0.1590909090909091,4.464558038845993,2,13,5,1,0.2222222222222222,0.27906976744186046,malicious
b2ikbrbk5yuy5a6obczpakeafq0.lab-c2.local.,local,lab-c2,41,27,0.14634146341463414,4.132214664190584,1,11,5,1,0.47619047619047616,0.4,malicious
9r0qvg6lxbagbcybsbh6nafm9haril.lab-c2.local.,local,lab-c2,44,30,0.13636363636363635,4.224461245281903,1,12,8,1,0.25925925925925924,0.32558139534883723,malicious
hfdxmdvmenkzlnjwbry2fw7rwvdamh.lab-c2.local.,local,lab-c2,44,30,0.06818181818181818,4.3736489479369025,1,19,10,1,0.15625,0.23255813953488372,malicious
lf2bc9zcxi1cyinavhpcexjf9y0.lab-c2.local.,local,lab-c2,41,27,0.14634146341463414,4.210733711724087,1,13,4,1,0.2916666666666667,0.35,malicious
hvigpur1loy6jvbb8blq8hoqsll5ta.lab-c2.local.,local,lab-c2,44,30,0.13636363636363635,4.279519187707897,1,7,4,2,0.3076923076923077,0.37209302325581395,malicious
r99nhgx7gxywjxelsuacye928dh05v.lab-c2.local.,local,lab-c2,44,30,0.20454545454545456,4.510012584300539,3,14,6,2,0.2916666666666667,0.27906976744186046,malicious
p7at4y7gxbmcwubweuyrvhd7ata.lab-c2.local.,local,lab-c2,41,27,0.12195121951219512,4.299403761075299,1,16,6,1,0.391304347826087,0.4,malicious
