dns_domain_name,dns_top_level_domain,dns_second_level_domain,dns_domain_name_length,dns_subdomain_name_length,numerical_percentage,character_entropy,max_continuous_numeric_len,max_continuous_alphabet_len,max_continuous_consonants_len,max_continuous_same_alphabet_len,vowels_consonant_ratio,conv_freq_vowels_consonants,label
18c50000692a3fc2fcec8177d29e40a56a3c6d0239fb7494.lab-c2.local.,local,lab-c2,62,48,0.532258064516129,4.153151908407066,8,5,2,4,0.47058823529411764,0.19672131147540983,malicious
18c500013de4d7d346458dda6df8d0d8f6ce22934d541354.lab-c2.local.,local,lab-c2,62,48,0.532258064516129,4.074060422801576,6,5,2,3,0.3157894736842105,0.19672131147540983,malicious
18c50002e28f1cc8257bd844136aeadd892a040cec35c552.lab-c2.local.,local,lab-c2,62,48,0.5161290322580645,4.043266279498892,6,5,2,3,0.5294117647058824,0.22950819672131148,malicious
18c500032f2087a8cc75d0f4f880b9fbbda5a4edec8918a8.lab-c2.local.,local,lab-c2,62,48,0.46774193548387094,4.013813043874001,6,5,4,3,0.45,0.22950819672131148,malicious
18c5000447ed82df4fccf7a0e1808b8e626d51e620dd6c78.lab-c2.local.,local,lab-c2,62,48,0.5,4.028016020022973,7,5,4,3,0.42105263157894735,0.22950819672131148,malicious
18c50005d97705d44a667278cd1113680a32dfa78a317c8a.lab-c2.local.,local,lab-c2,62,48,0.5806451612903226,4.016629433460129,7,5,2,3,0.5714285714285714,0.22950819672131148,malicious
18c5000623e6f1f6d05bc3c8a30e24123786f65bd086336b.lab-c2.local.,local,lab-c2,62,48,0.5645161290322581,4.037905988605025,8,5,2,3,0.35294117647058826,0.16393442622950818,malicious
18c50007ace435fdba277c83537c663ab796f6c20d989789.lab-c2.local.,local,lab-c2,62,48,0.5483870967741935,4.106690867741966,6,5,3,3,0.4117647058823529,0.22950819672131148,malicious
18c500085e68c9c2db97ac6a739f42f442c12fbc49864999.lab-c2.local.,local,lab-c2,62,48,0.5483870967741935,4.060646464963364,8,5,3,3,0.3333333333333333,0.19672131147540983,malicious
18c500099097f56889267e3a87409acfd74bfb110f8ff9f3.lab-c2.local.,local,lab-c2,62,48,0.5483870967741935,4.094515262868362,9,5,3,3,0.3333333333333333,0.13114754098360656,malicious
18c5000ad9adaa2d7a870a6c48e23544ee2b2ffc1cf7c582.lab-c2.local.,local,lab-c2,62,48,0.45161290322580644,4.063867931741102,5,5,3,3,0.6666666666666666,0.26229508196721313,malicious
18c5000ba688b810f0b21f9ccb788e0cca0d767ae457acdf.lab-c2.local.,local,lab-c2,62,48,0.45161290322580644,3.9654830048038465,4,5,3,3,0.42857142857142855,0.22950819672131148,malicious
18c5000cac796b16ea3b36099a282f7526b63ad2b1f23da2.lab-c2.local.,local,lab-c2,62,48,0.5161290322580645,4.032398885535733,5,5,1,3,0.5294117647058824,0.26229508196721313,malicious
18c5000da77545b628b03ab2ac34eed32da5318512b2d0fa.lab-c2.local.,local,lab-c2,62,48,0.5,4.034684521827287,7,5,1,3,0.5882352941176471,0.29508196721311475,malicious
18c5000e842baeb0d790c7a21e72578ff6071716e9ae02d8.lab-c2.local.,local,lab-c2,62,48,0.532258064516129,4.046860126700891,7,5,2,3,0.7857142857142857,0.22950819672131148,malicious
18c5000f1eadeebc1fab4f0bfd33af000761ca7c3effefaf.lab-c2.local.,local,lab-c2,62,48,0.3387096774193548,3.870061279628143,6,7,3,3,0.5416666666666666,0.36065573770491804,malicious
18c500100ef43a276da2349c13bbb0590bc21578ecace66f.lab-c2.local.,local,lab-c2,62,48,0.5,4.133069448764542,6,5,3,3,0.5,0.29508196721311475,malicious
