dns_domain_name,dns_top_level_domain,dns_second_level_domain,dns_domain_name_length,dns_subdomain_name_length,numerical_percentage,character_entropy,max_continuous_numeric_len,max_continuous_alphabet_len,max_continuous_consonants_len,max_continuous_same_alphabet_len,vowels_consonant_ratio,conv_freq_vowels_consonants,label
nkpb-00000-hrhbu4s3zuxwmoxk2ujcm5zoxfatkzpegvys37efdctu2fpr.lab-exfil.local.,local,lab-exfil,76,59,0.15789473684210525,4.864262835863697,5,14,4,5,0.3181818181818182,0.37333333333333335,malicious
nkpb-00001-fps7q4pctst64d54wrbbmxuhpardtco7hnoi4k3ox5zdr4pu.lab-exfil.local.,local,lab-exfil,76,59,0.21052631578947367,4.784001448099093,5,15,6,4,0.2857142857142857,0.29333333333333333,malicious
nkpb-00002-pvfg3nl4ps6hnfng2ovky2a6lh6fn7tqen2ksde4vhb5xeox.lab-exfil.local.,local,lab-exfil,76,59,0.21052631578947367,4.651568138016585,5,5,5,4,0.2558139534883721,0.26666666666666666,malicious
nkpb-00003-ps2f2fulxrxdwdblepbs63bfifwpudgjuvq2vinioytrjf7w.lab-exfil.local.,local,lab-exfil,76,59,0.14473684210526316,4.6964353687299685,5,15,9,4,0.2826086956521739,0.32,malicious
nkpb-00004-alx32sw357u2u5sza4nsl6lnm45spmwvr2zyxmrfyp7vmax5.lab-exfil.local.,local,lab-exfil,76,59,0.25,4.671737382630154,5,8,8,4,0.24390243902439024,0.24,malicious
nkpb-00005-q4cnuf6mrwfpf3xvehsvue7bl3xuuavdwfyc44feb5x7wn5r.lab-exfil.local.,local,lab-exfil,76,59,0.19736842105263158,4.696435368729968,5,10,6,4,0.30952380952380953,0.26666666666666666,malicious
nkpb-00006-htbupfwlbovlw3i5rmjfiy6ptihgzgxqewtcbbrqtmmuktcw.lab-exfil.local.,local,lab-exfil,76,59,0.10526315789473684,4.706368099021593,5,25,10,4,0.24,0.32,malicious
nkpb-00007-3mpbk2mc5z2cqckrvfrhpcrsaq6hfl44b623ubs7gb7blynp.lab-exfil.local.,local,lab-exfil,76,59,0.2236842105263158,4.710953829884708,5,15,13,4,0.15217391304347827,0.18666666666666668,malicious
nkpb-00008-ghgwfwkxg76xppkmnhbnea2wpcjsgmszfbvopvguoz5bcqge.lab-exfil.local.,local,lab-exfil,76,59,0.11842105263157894,4.708022007167286,5,19,12,4,0.22,0.24,malicious
nkpb-00009-6zzmmd6qcs7u5opm2nx4syyvgsvrlnxm467w3d5tacjw4ife.lab-exfil.local.,local,lab-exfil,76,59,0.2236842105263158,4.97945872405006,5,12,12,4,0.23255813953488372,0.24,malicious
nkpb-00010-r25lsjnoa26haejqj3gm76yrwy5uuhblrvmbm6a6iiiqomuv.lab-exfil.local.,local,lab-exfil,76,59,0.19736842105263158,4.77886513855221,5,10,8,3,0.4473684210526316,0.29333333333333333,malicious
nkpb-00011-a57ncu7g7tfn25wepo6bcq2p7g5mdwxgcstgbxdhgrui4kbh.lab-exfil.local.,local,lab-exfil,76,59,0.21052631578947367,4.810317237572779,5,17,15,3,0.2558139534883721,0.26666666666666666,malicious
nkpb-00012-6afjemkcogtrfqyv6fi52z4l5bna6tzj4imnbp2noiouroj6.lab-exfil.local.,local,lab-exfil,76,59,0.19736842105263158,4.734852270552915,5,15,7,3,0.41025641025641024,0.3466666666666667,malicious
nkpb-00013-fwbobabcun26cisu4qbtlb4gkawnf4cba6fcbz2n6m56lfvl.lab-exfil.local.,local,lab-exfil,76,59,0.19736842105263158,4.537015922662687,5,10,5,3,0.27906976744186046,0.32,malicious
