dns_domain_name,dns_top_level_domain,dns_second_level_domain,dns_domain_name_length,dns_subdomain_name_length,numerical_percentage,character_entropy,max_continuous_numeric_len,max_continuous_alphabet_len,max_continuous_consonants_len,max_continuous_same_alphabet_len,vowels_consonant_ratio,conv_freq_vowels_consonants,label
ubufnc05yymwlau6yulyhyjny.c.lab-c2.local.,local,lab-c2,41,27,0.0975609756097561,3.8972031514247374,2,9,7,2,0.3333333333333333,0.325,malicious
mxkxfesqrbscpbavcqk3.c.lab-c2.local.,local,lab-c2,36,22,0.05555555555555555,4.0067499186387785,1,19,8,1,0.20833333333333334,0.2857142857142857,malicious
dlk8ndncqogutg.c.lab-c2.local.,local,lab-c2,30,16,0.06666666666666667,3.7735572622751854,1,10,5,1,0.2777777777777778,0.3448275862068966,malicious
y4pd9bvlwti2a3i.c.lab-c2.local.,local,lab-c2,31,17,0.16129032258064516,3.9377519554085865,1,6,5,1,0.4,0.26666666666666666,malicious
rkpfv0uqzqe4whens92ixtpbz.c.lab-c2.local.,local,lab-c2,41,27,0.12195121951219512,4.589020906951573,2,6,5,1,0.2916666666666667,0.35,malicious
eiftz7tcq9ylx2ya.c.lab-c2.local.,local,lab-c2,32,18,0.125,3.9139097655573916,1,5,3,1,0.35294117647058826,0.2903225806451613,malicious
yij6ruqs3fpud92qma6azw.c.lab-c2.local.,local,lab-c2,38,24,0.15789473684210525,4.366091329119193,2,5,2,1,0.42105263157894735,0.3783783783783784,malicious
zcnjhcudcsrd2qat0d0ziq.c.lab-c2.local.,local,lab-c2,38,24,0.10526315789473684,4.0433370526326025,1,12,6,1,0.2608695652173913,0.32432432432432434,malicious
8xxfyac7qxavcbgx.c.lab-c2.local.,local,lab-c2,32,18,0.09375,3.676108500731241,1,8,5,2,0.2631578947368421,0.3225806451612903,malicious
krc30a9dd33tq64rihllv04.c.lab-c2.local.,local,lab-c2,39,25,0.2564102564102564,4.128494129663178,2,6,4,2,0.2631578947368421,0.2631578947368421,malicious
vmfmdbpbmsd6cr11mp7bpr5x.c.lab-c2.local.,local,lab-c2,40,26,0.15,4.084183719779188,2,11,11,2,0.11538461538461539,0.15384615384615385,malicious
8i0yg3cqen7whw.c.lab-c2.local.,local,lab-c2,30,16,0.16666666666666666,4.081727678869736,1,5,3,1,0.3333333333333333,0.3103448275862069,malicious
bp3d9rylfv3oduw8zthq.c.lab-c2.local.,local,lab-c2,36,22,0.1388888888888889,4.315622570826659,1,5,5,1,0.23809523809523808,0.2857142857142857,malicious
4rw8ivj1tol1ghs3azkr.c.lab-c2.local.,local,lab-c2,36,22,0.16666666666666666,4.294653473544341,1,5,3,1,0.3157894736842105,0.34285714285714286,malicious
oue2t3xm6hrlgqth6q8k.c.lab-c2.local.,local,lab-c2,36,22,0.16666666666666666,4.204511459715548,1,7,7,1,0.3157894736842105,0.2,malicious
edne83vpa9tfpygv1isw.c.lab-c2.local.,local,lab-c2,36,22,0.1388888888888889,4.384795487373133,2,6,6,1,0.3684210526315789,0.37142857142857144,malicious
hlkbthlfxqcjgzgcva.c.lab-c2.local.,local,lab-c2,34,20,0.029411764705882353,3.8529284750433654,1,18,17,1,0.16666666666666666,0.24242424242424243,malicious
fc2snleqyunbd4lubdacwzrt.c.lab-c2.local.,local,lab-c2,40,26,0.075,4.103701696057347,1,10,5,1,0.28,0.358974358974359,malicious
lmi0u1mbdg7el5rtgbc1vui.c.lab-c2.local.,local,lab-c2,39,25,0.15384615384615385,4.147850219462241,1,5,5,1,0.4,0.3157894736842105,malicious
bqsndkyhybbus39tfrmso8jf.c.lab-c2.local.,local,lab-c2,40,26,0.1,4.3653115322251015,2,13,11,2,0.19230769230769232,0.2564102564102564,malicious
9dkpupbqwbqocz8.c.lab-c2.local.,local,lab-c2,31,17,0.0967741935483871,3.8732358263763285,1,13,6,1,0.2777777777777778,0.3333333333333333,malicious
15awovlh94c2hewcdw.c.lab-c2.local.,local,lab-c2,34,20,0.17647058823529413,3.8192447389337585,2,6,4,1,0.35294117647058826,0.3333333333333333,malicious
j3wh9dvy7pmfwcpz.c.lab-c2.local.,local,lab-c2,32,18,0.125,4.163909765557392,1,7,7,1,0.15,0.1935483870967742,malicious
tqap2bdx2dqmuagffg.c.lab-c2.local.,local,lab-c2,34,20,0.08823529411764706,3.9032080616476805,1,9,4,2,0.3,0.30303030303030304,malicious
irfqyhzukakdaspegw.c.lab-c2.local.,local,lab-c2,34,20,0.029411764705882353,4.278351811711311,1,18,6,1,0.4,0.45454545454545453,malicious
ov8tgqkyzx8vyuhio4styq.c.lab-c2.local.,local,lab-c2,38,24,0.10526315789473684,4.273728829005326,1,7,7,1,0.3181818181818182,0.2972972972972973,malicious
