dns_domain_name,dns_top_level_domain,dns_second_level_domain,dns_domain_name_length,dns_subdomain_name_length,numerical_percentage,character_entropy,max_continuous_numeric_len,max_continuous_alphabet_len,max_continuous_consonants_len,max_continuous_same_alphabet_len,vowels_consonant_ratio,conv_freq_vowels_consonants,label
xuaufif3il3nxjbnrtzhs77b5y7yimlaw7btbb5fcbteiprhvq.ilja.t.lab-c2.local.,local,lab-c2,71,57,0.1267605633802817,4.551156191527674,2,11,10,2,0.3333333333333333,0.3142857142857143,malicious
ny3but7vy5abk5w7bljggsxs7oqwgkc26laf7qkk3xpqul3hze.boca.t.lab-c2.local.,local,lab-c2,71,57,0.16901408450704225,4.609490127444241,2,8,8,2,0.2619047619047619,0.3142857142857143,malicious
ly6y5muaqqw5j62gks47qitxttkled5mwblqssvpumhp5wskhu.ufiq.t.lab-c2.local.,local,lab-c2,71,57,0.14084507042253522,4.6603301341264505,2,13,9,2,0.25,0.2571428571428571,malicious
mw5drtrezynbogfwtf2im55y4der7cymtp4tepmxc6q22mt6g4.e5lq.t.lab-c2.local.,local,lab-c2,71,57,0.19718309859154928,4.558286296128753,2,15,5,2,0.21428571428571427,0.2571428571428571,malicious
ykax7qxwkp6wggdw6wanw2ghrw4n3bxeaiboslzv2idp7tyhsy.2s6q.t.lab-c2.local.,local,lab-c2,71,57,0.15492957746478872,4.667234711530298,1,11,5,2,0.22727272727272727,0.22857142857142856,malicious
vy3gixu4zjmcfyqocnhzuewod7pini6fsnerxcskhe5wlb32k7.ckwq.t.lab-c2.local.,local,lab-c2,71,57,0.1267605633802817,4.887088802719548,2,17,7,1,0.3023255813953488,0.34285714285714286,malicious
egcys2hqx4fnixnbaxd4uvr4p3xwk3lp67fl4c4ewemb3pzanx.fvaa.t.lab-c2.local.,local,lab-c2,71,57,0.16901408450704225,4.6782307545039075,2,9,4,2,0.2926829268292683,0.3,malicious
e6xxiess6c7dmgptftcdoqpfk5nq3uloqkgc434sdn6kbwd4nt.4ukq.t.lab-c2.local.,local,lab-c2,71,57,0.16901408450704225,4.6252565426380965,3,14,9,2,0.23255813953488372,0.24285714285714285,malicious
jq6hvxfk5gglzzehejuawnr3uvpz3oi7bunkuxttwcyqjg6sbs.kteq.t.lab-c2.local.,local,lab-c2,71,57,0.09859154929577464,4.791949542125694,1,14,9,2,0.28888888888888886,0.3142857142857143,malicious
wsjj74nanpcj7ewomdpmpkcl2sg2jgwctg7lvlnnyl55u5aw4o.lguq.t.lab-c2.local.,local,lab-c2,71,57,0.15492957746478872,4.4456102397907244,2,11,8,2,0.22727272727272727,0.2571428571428571,malicious
f7lmptwrhff4ojgg7bxgpeep6xya42e7wmc73dtze5s2ghtvyn.otfa.t.lab-c2.local.,local,lab-c2,71,57,0.16901408450704225,4.6815945708071105,2,9,9,2,0.2619047619047619,0.2571428571428571,malicious
hbj2xkm25bokmpxg6ocshkhfr7aqjvwr7nengahfld2wry5jd3.ygya.t.lab-c2.local.,local,lab-c2,71,57,0.14084507042253522,4.723572739699311,2,9,7,1,0.1956521739130435,0.2571428571428571,malicious
uejozvbxaohxxt3ndgwnjl7bexcdbtuhkcjfn67myapebvzryz.okgq.t.lab-c2.local.,local,lab-c2,71,57,0.07042253521126761,4.699131366551288,2,14,7,2,0.2765957446808511,0.3,malicious
vlnig34zmtuoeyyq74hb3vp2ynryamytcsvtdue4kxjpruw2ay.febq.t.lab-c2.local.,local,lab-c2,71,57,0.1267605633802817,4.763780528041188,2,15,8,2,0.3023255813953488,0.2857142857142857,malicious
tmjnxpcsbv2grrrn3sqykmw7sxzxdjdjuasazos6hcruorie4v.7pzq.t.lab-c2.local.,local,lab-c2,71,57,0.09859154929577464,4.789136430291615,1,15,10,3,0.23404255319148937,0.22857142857142856,malicious
2n46yyxmbt5steft52nbdrghimcwl34gvseegepygezdg5b3c3.fa6q.t.lab-c2.local.,local,lab-c2,71,57,0.18309859154929578,4.676460373953587,2,14,6,2,0.23809523809523808,0.2571428571428571,malicious
abqryoganq6nha72vnisc536rojpswdad4ydo4qt4sviws2oio.cyca.t.lab-c2.local.,local,lab-c2,71,57,0.15492957746478872,4.510033874083392,3,10,5,1,0.42105263157894735,0.38571428571428573,malicious
izep4dj4om2k4qgudjsxrca35usoo5v5zj72vazl5ixrga6vfg.7oga.t.lab-c2.local.,local,lab-c2,71,57,0.19718309859154928,4.667234711530295,2,10,6,2,0.45714285714285713,0.38571428571428573,malicious
oa54e3o52m557uukh3qb3wmdfwf257srnadvmousybz7lpifp3.a7va.t.lab-c2.local.,local,lab-c2,71,57,0.23943661971830985,4.6496979157861205,3,13,6,2,0.45454545454545453,0.2714285714285714,malicious
mcfcifni24vs4onblfj2ykaw7vsk3x5ilub4mvmk7vzo6gvpin.leza.t.lab-c2.local.,local,lab-c2,71,57,0.15492957746478872,4.645970274849635,2,8,5,1,0.3170731707317073,0.37142857142857144,malicious
enjzczpyotazr5akr2lyrrnoiq6g5h43rje4rc66atzsqihe5m.vtuq.t.lab-c2.local.,local,lab-c2,71,57,0.15492957746478872,4.621528901701613,2,13,7,2,0.35,0.35714285714285715,malicious
