dns_domain_name,dns_top_level_domain,dns_second_level_domain,dns_domain_name_length,dns_subdomain_name_length,numerical_percentage,character_entropy,max_continuous_numeric_len,max_continuous_alphabet_len,max_continuous_consonants_len,max_continuous_same_alphabet_len,vowels_consonant_ratio,conv_freq_vowels_consonants,label
000000-5z74xa2k4zbzmogwl5bdlrcbjcsnkdt36z3hcpxuchpfb3pz.t.lab-c2.local.,local,lab-c2,71,57,0.23943661971830985,4.627026923188418,6,13,13,6,0.14285714285714285,0.17142857142857143,malicious
000001-jaskbdulibsxtnpsbk3pn2edcrmjnhpr53enrjapjmrvq6vq3d.t.lab-c2.local.,local,lab-c2,73,59,0.1780821917808219,4.674356196097952,6,18,9,5,0.2,0.25,malicious
000002-dwdnwfpa5efyfntj5yaplhdjhghvfonvtcji3pz7w7wttmtsbo.t.lab-c2.local.,local,lab-c2,73,59,0.1643835616438356,4.6226515726620985,6,19,10,5,0.1956521739130435,0.2222222222222222,malicious
000003-zavwj6acox3fcfklgzstc274ka2xe5fprn3cfn6isnz3j3lswp.t.lab-c2.local.,local,lab-c2,73,59,0.2465753424657534,4.614921998459085,6,10,10,5,0.225,0.25,malicious
000004-6hnzmyfju56n5wwrer5uyyn7jk4jqrbuuxhmd5soxkmf4siwan.t.lab-c2.local.,local,lab-c2,73,59,0.2191780821917808,4.797376058993105,6,10,7,5,0.275,0.2777777777777778,malicious
000005-k3wf3vvqdvgg6xrd5mxmvwuftdfq3ojbhbs3kkjkm6anpflbbq.t.lab-c2.local.,local,lab-c2,73,59,0.1917808219178082,4.679703586859091,6,11,7,5,0.1276595744680851,0.16666666666666666,malicious
000006-oentxc3ytnf67v7f4u3qp62gryrvrjs74loix4vhvtuboxxo6l.t.lab-c2.local.,local,lab-c2,73,59,0.2602739726027397,4.657653717346259,6,10,8,5,0.2972972972972973,0.2361111111111111,malicious
000007-5qdjhfp5elpvd7645i3yygsu6ckkecpce4bkvrihbo4epycnfb.t.lab-c2.local.,local,lab-c2,73,59,0.2328767123287671,4.735866127545529,6,8,6,5,0.28205128205128205,0.2777777777777778,malicious
000008-tu7if56jp4xv5c6ff4wiawr26s6abio2xtkjwi4orxaydbcrof.t.lab-c2.local.,local,lab-c2,73,59,0.2602739726027397,4.610942627836438,6,11,5,5,0.4117647058823529,0.2777777777777778,malicious
000009-tmzxaq26v5bv5zxz4ajphhvbv4nkeixurnpyg6bez74wh2yom6.t.lab-c2.local.,local,lab-c2,73,59,0.2465753424657534,4.818057908367446,6,11,7,5,0.2564102564102564,0.25,malicious
000010-wltnfpbgukn2fcsf6oe6l62a7p2qr7ttbh64vz5hdtuyydolk5.t.lab-c2.local.,local,lab-c2,73,59,0.2602739726027397,4.730872593619496,6,11,8,4,0.23076923076923078,0.2222222222222222,malicious
