dns_domain_name,dns_top_level_domain,dns_second_level_domain,dns_domain_name_length,dns_subdomain_name_length,numerical_percentage,character_entropy,max_continuous_numeric_len,max_continuous_alphabet_len,max_continuous_consonants_len,max_continuous_same_alphabet_len,vowels_consonant_ratio,conv_freq_vowels_consonants,label
d7ed4f24fa7b4789fb1a.tunnel.lab-c2.local.,local,lab-c2,41,27,0.2682926829268293,4.064392248309453,4,6,2,2,0.47058823529411764,0.4,malicious
d845e5841965533ee8bc48271b8c97c5193e6303c01a5946daea9fc621bec14c3d8c4a3d777e193c.tunnel.lab-c2.local.,local,lab-c2,101,87,0.5247524752475248,4.246145787131512,10,6,2,3,0.5925925925925926,0.24,malicious
73df47c0c0d455361613.tunnel.lab-c2.local.,local,lab-c2,41,27,0.3902439024390244,4.217188894809219,9,6,2,2,0.3333333333333333,0.25,malicious
610c47af097165481bd1.tunnel.lab-c2.local.,local,lab-c2,41,27,0.3902439024390244,4.247557492317426,9,6,2,2,0.42857142857142855,0.3,malicious
73db9b14b05f4cb56b74b1607ad5ea0c2e733cee6e9f378c7929d40a2f2db62a7867df085f0f1724.tunnel.lab-c2.local.,local,lab-c2,101,87,0.49504950495049505,4.320900780606684,4,6,2,2,0.4375,0.22,malicious
049981e44542a52c488953202765bbc4d7ec299cb4945edfd1b4445f46fd.tunnel.lab-c2.local.,local,lab-c2,81,67,0.5185185185185185,4.2048752744045155,12,6,3,3,0.36,0.1875,malicious
0d1dbf117d7dda75150f904994251ea575c65bdcd56faa8d3a44ffdda3d6a9552bd562daec999f7a.tunnel.lab-c2.local.,local,lab-c2,101,87,0.44554455445544555,4.1742639483351045,9,6,4,3,0.45714285714285713,0.26,malicious
8b1bce4d7e253e5a54cf.tunnel.lab-c2.local.,local,lab-c2,41,27,0.2682926829268293,4.082804138606123,3,6,2,2,0.5625,0.35,malicious
24f80ee896b2908587117e10851ebcc5f4be0f3890dff92d65dc03bf50406cce01431b81d908a9e3.tunnel.lab-c2.local.,local,lab-c2,101,87,0.5247524752475248,4.280280885232738,10,6,3,2,0.43333333333333335,0.2,malicious
9a38bd679cf9a9a3ab2d6c5b78ea3934965fdd7e0ff13c06669f0ad93e41.tunnel.lab-c2.local.,local,lab-c2,81,67,0.4444444444444444,4.273698812313127,7,6,3,3,0.5384615384615384,0.2625,malicious
75f77c4197f0444f231f36874552bfb05b640bb6ddf4ee7dcd9f87d2e82c6392c7864d0769c69b7c.tunnel.lab-c2.local.,local,lab-c2,101,87,0.5247524752475248,4.266549974857363,8,6,3,3,0.22857142857142856,0.14,malicious
71112b0b29cc8c2a3e4e800d7b9868e9aed520c5f723b7852e8d623e9edc75440160c0c8db1a73c0.tunnel.lab-c2.local.,local,lab-c2,101,87,0.5148514851485149,4.259904434835278,8,6,2,3,0.5172413793103449,0.2,malicious
e79839c4c3715ca741b7b1d149852884ebfbbe4e.tunnel.lab-c2.local.,local,lab-c2,61,47,0.4262295081967213,4.162729609170029,9,6,4,2,0.5,0.2833333333333333,malicious
d87f21051936b96af939618e90f4b74e38f7eb0cc14fffffeb90803f7b20baa75bd4e46fef87c057.tunnel.lab-c2.local.,local,lab-c2,101,87,0.4752475247524752,4.267794499798678,8,7,5,5,0.4117647058823529,0.26,malicious
599eae3d3caf8ed2495a.tunnel.lab-c2.local.,local,lab-c2,41,27,0.2682926829268293,4.013176017331164,4,6,2,2,0.7857142857142857,0.425,malicious
93851cbeebff94d820d1.tunnel.lab-c2.local.,local,lab-c2,41,27,0.2926829268292683,4.229145602020757,5,7,3,2,0.4117647058823529,0.3,malicious
